#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PSEN1	FLNB	985250	981680	ENSP00000326366	ENSP00000295956	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.278	0.707
CTNNB1	APH1B	987513	978827	ENSP00000344456	ENSP00000261879	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FLNA	PSEN1	990005	985250	ENSP00000358866	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.358	0.894
PSEN2	SRI	989326	979658	ENSP00000355747	ENSP00000265729	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.842	0.936
PSEN1	APH1B	985250	978827	ENSP00000326366	ENSP00000261879	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.311	0.970
PSEN2	oxygen	989326	-100000977	ENSP00000355747	977	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.819	0.819
PSEN2	SureCN882998	989326	-125164607	ENSP00000355747	25164607	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.700
MAPT	CASP7	986994	982057	ENSP00000340820	ENSP00000298700	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.093	0.631
PSEN2	PSEN1	989326	985250	ENSP00000355747	ENSP00000326366	0.000	0.000	0.000	0.952	0.000	0.641	0.000	0.868	0.655
CASP8	CASP6	988504	979557	ENSP00000351273	ENSP00000265164	0.000	0.000	0.000	0.832	0.000	0.937	0.900	0.788	0.994
PSEN2	RAB11A	989326	978833	ENSP00000355747	ENSP00000261890	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.068	0.623
BCL2L1	CASP7	982553	982057	ENSP00000302564	ENSP00000298700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.532
CASP3	nimesulide	983604	-100004495	ENSP00000311032	4495	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.108	0.724
PSEN2	DLL1	989326	989318	ENSP00000355747	ENSP00000355718	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.476	0.476
APBA3	APP	984036	980902	ENSP00000315136	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.403	0.902
MAPT	APOE	986994	977866	ENSP00000340820	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.726	0.981
CFLAR	CASP6	983787	979557	ENSP00000312455	ENSP00000265164	0.000	0.000	0.000	0.680	0.000	0.620	0.000	0.374	0.660
BACE1	PSENEN	984380	976538	ENSP00000318585	ENSP00000222266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.670	0.669
APH1A	MME	989829	988880	ENSP00000358105	ENSP00000353679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.401
CASP8	UBC	988504	987558	ENSP00000351273	ENSP00000344818	0.000	0.000	0.000	0.000	0.000	0.494	0.000	0.186	0.561
PSEN2	CHEMBL2159689	989326	-158950169	ENSP00000355747	58950169	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.700
UBC	PSENEN	987558	976538	ENSP00000344818	ENSP00000222266	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.000	0.909
APP	NOTCH1	980902	980463	ENSP00000284981	ENSP00000277541	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.543	0.814
PSEN2	APLP2	989326	979203	ENSP00000355747	ENSP00000263574	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
CASP8	ESR1	988504	976039	ENSP00000351273	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.428	0.428
UBC	GFAP	987558	977970	ENSP00000344818	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.241	0.692
BCL2L1	oxygen	982553	-100000977	ENSP00000302564	977	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.421
CASP8	CTNNB1	988504	987513	ENSP00000351273	ENSP00000344456	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.273	0.705
APH1A	NBPF1	989829	981084	ENSP00000358105	ENSP00000287968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.504	0.504
PSEN2	NCSTN	989326	981521	ENSP00000355747	ENSP00000294785	0.000	0.000	0.000	0.000	0.000	0.846	0.800	0.627	0.986
APH1A	PSEN2	989829	989326	ENSP00000358105	ENSP00000355747	0.000	0.000	0.000	0.000	0.000	0.845	0.800	0.803	0.993
APH1A	NOTCH3	989829	979180	ENSP00000358105	ENSP00000263388	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.161	0.910
KCNIP2	KCNIP4	998138	995954	ENSP00000420040	ENSP00000398943	0.000	0.000	0.000	0.956	0.000	0.429	0.000	0.818	0.449
APP	ADAM10	980902	978579	ENSP00000284981	ENSP00000260408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
PSEN2	YME1L1	989326	984375	ENSP00000355747	ENSP00000318480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.835
PSEN1	SureCN6890838	985250	-125164609	ENSP00000326366	25164609	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.700
CTNNB1	CSNK2A1	987513	976270	ENSP00000344456	ENSP00000217244	0.000	0.000	0.000	0.000	0.000	0.621	0.800	0.187	0.929
PSEN1	BACE1	985250	984380	ENSP00000326366	ENSP00000318585	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.785	0.913
UBQLN2	PSEN1	987613	985250	ENSP00000345195	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.178	0.665
ADAM10	PSENEN	978579	976538	ENSP00000260408	ENSP00000222266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.499	0.946
PRNP	MAPT	992007	986994	ENSP00000368748	ENSP00000340820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.429
CASP8	CFLAR	988504	983787	ENSP00000351273	ENSP00000312455	0.000	0.000	0.000	0.762	0.066	0.999	0.900	0.966	0.999
CTNNB1	PSENEN	987513	976538	ENSP00000344456	ENSP00000222266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.200	0.914
APH1A	APLP1	989829	976501	ENSP00000358105	ENSP00000221891	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.508
FLNA	SCT	990005	975915	ENSP00000358866	ENSP00000176195	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.063	0.621
PSEN2	UBQLN2	989326	987613	ENSP00000355747	ENSP00000345195	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.193	0.671
KCNIP4	PSEN2	995954	989326	ENSP00000398943	ENSP00000355747	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.885	0.953
PSEN2	BCL2L1	989326	982553	ENSP00000355747	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.826	0.929
PRNP	GFAP	992007	977970	ENSP00000368748	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.535	0.534
MTCH1	PSEN1	990832	985250	ENSP00000362718	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.884	0.981
PSEN2	cidofovir	989326	-100060613	ENSP00000355747	60613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
CASP1	IL1A	997177	979164	ENSP00000410076	ENSP00000263339	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.464	0.783
NOTCH2NL	PSEN1	989132	985250	ENSP00000354929	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.567	0.567
